input,target,answer_choices,type
这个是关于哪方面的App应用程序的描述？银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿《狙击行动代号猎鹰》是以第一视角狙击而风靡全球的经典射击游戏。在其中，你将扮演一位技术精湛的城市护卫者&quot;猎鹰&quot;，接收并完成各项惊险刺激的任务。从剧情模式到精英行动，驱敌护国的计划缜密进行；各式剧情彩蛋精彩上演高品质的城市场景逼真还原，数十把高端模型枪具，在狙击镜下感受第一视角的爆爽冲击_答案：,射击游戏,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
"黄灯笼辣椒（学名：'），又名中华辣椒、黄帝椒、黄辣椒，是茄科茄亚族辣椒属的植物。国际上将中华辣椒确定为辣椒的五大栽培种之一，原产于古巴、巴西、秘鲁、玻利维亚、巴拉圭等中南美洲国家。1776年，荷兰内科医生兼植物学家尼古拉斯·约瑟夫·冯·雅克恩（Nikolaus von Jacquin）从新大陆为神圣罗马帝国皇帝弗朗茨一世采集到辣椒种子，由于当时地理认知的错误，误认为此辣椒源自中国，遂命名为“中华辣椒”（""Capsicum chinense""）。“Chinense”是拉丁语，意为“中华”。错误的命名由于长期使用成为约定俗成称呼而一直沿用至今。但实际上所有辣椒的源头都是美洲。黄灯笼辣椒由于在中国海南省栽培品种颜色为金黄色而得名。黄灯笼椒富含辣椒素类物质，辣度高，可达170000SHU。2007年，中华辣椒品种之一的印度魔鬼辣椒（Bhut Jolokia）获得吉尼斯世界记录（Guinness World Records），辣度达到100万1千3百SHU单位。因此一般不作为鲜食。在海南省主要做成黄灯笼辣椒酱。在热带地区为多年生半灌木，一般栽培品种株高为70cm左右，常年生长的植株株高可超过1米，个别品种可长到近2米，极多分枝，单叶互生，全缘或浅波状。花多簇生于分枝处，每个节位能抽生3－5朵花，多则达十多朵或以上，高节位时常因节间缩短而生于近叶腋处。花梗下垂。花萼杯状，具5－7小齿，结果时稍增大宿存，花萼与花梗间收缩。花冠辐射状，白色至绿白色，花冠上没有斑点，5中裂，裂片镊合状排列。雄蕊5枚，贴生于花冠筒基部，花丝丝状，花药并行，蓝色或淡黄色，纵缝裂开。子房2室，花柱细长，花柱比花药长，柱头2－3裂，胚珠多数。果实俯垂，每节位能坐果1－3个，幼果有多种颜色，生理完熟果多为红色或黄色，果长3－7厘米，宽3.5－5.0厘米，单果重5－50克。种子扁圆盘形，褐色，胚极弯曲。传统种植区：墨西哥尤卡坦半岛；中美洲、加勒比海诸岛国；南美委内瑞拉、巴西、智利等国。其它种植区：美国佛罗里达；亚洲中国西南部及印度、越南等东南亚国家；非洲。黄灯笼椒在中国大面积栽培主要是在海南省的文昌、琼海、万宁、陵水、三亚等地方，广西的靖西也有零星栽培。_ 问题：哪一种辣椒获得吉尼斯世界纪录？_答案：",中华辣椒品种之一的印度魔鬼辣椒,[],mrc
"“负责灾区后勤保障的干部的本子上,记着各方捐赠的食品,全区灾民已收到面包、粽子、饼干等4万多公斤”问题：“灾民收到了各方捐赠的食品”真的,假的,或未知？_答案：",真的,"['真的', '假的', '未知']",nli
"给定“现代化建设有赖于国民素质的提高和人才的培养”因此，它必定是真的“国民素质和人才对现代化建设有很大作用”？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
"以下内容为真：“滁县地区专员张友道说:大都架到高处了”那么下面的陈述：“张友道对身边的官员说了话。”是真的,假的,或未知？_答案：",未知,"['真的', '假的', '未知']",nli
下面两个句子语义是“相同”或“不同”？“我开通借呗的时候上面显示存在风险是什么意思”，“说我的借呗交易存在风险是怎么回事”。选项：相同，不同。答案：,不同,"['相同', '不同']",classify
"“名不符实的撤军方案”仅使用以上描述和你对世界所了解的,“做出的方案是撤军”是正确,错误,或未知？_答案：",正确,"['正确', '错误', '未知']",nli
哪一个类别最好的描述了这个App应用程序的介绍？全球学术快报是CNKI知网的移动版，是CNKI为用户提供定制服务，个性化推送，简约搜索等实时掌握全球新科技前沿信息的综合性知识型移动端平台和文献阅读器。1.个性定制。结合大数据技术联系用户个人定制，用户可以在7大门类，4000多个主题中定制自己感兴趣的学科，系统会实时为用户推送定制的相关文献、期刊出版物和感兴趣的会议。2.热点追踪。联系时下社会与学术热点，系统会为用户自动罗列热点词，在用户定制添加后，会根据热点词为用户推送相关文献。3.文献云存储。应用云存储技术，可以将用户在多个平台阅览的文献进行统一云存储，方便在任何设备上进行查阅。4.文献方便阅读。APP在原版阅读的基础上，提供EPUB阅读和智能分版阅读。同时用户可以在云端对文献方便编辑，可以对文字进行勾画、删除、高亮等处理。5.机构绑定。机构用户可以通过机构绑定功能，在一定期限内，可以不受地域限制，随时随地检索文献。更新内容1、扫描医药卫生相关文章二维码无响应问题；_选项：银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿_答案：,杂志,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
阅读短文：_ “阁下，”圣·梅朗夫人__地说，象是怕她的时间不够用似的，“写信告诉我说，已经在为这个孩子准备婚事了？”“是的，夫人，”维尔福回答，“不仅是准备，而是已经按排妥当了。”“你的意中女婿是弗兰兹·伊皮奈先生？” _ 从候选成语“年复一年，乐不可支，言简意赅，开门见山，男欢女爱，似曾相识，喧宾夺主，快人快语，铺天盖地，短小精悍”中选出最适合填在下划线处的成语。正确答案是：,开门见山,"['年复一年', '乐不可支', '言简意赅', '开门见山', '男欢女爱', '似曾相识', '喧宾夺主', '快人快语', '铺天盖地', '短小精悍']",mrc
这些关键词“3D区域增长法，凸包算法，肺部分割”代表了这篇论文的摘要：“肺实质分割结果的准确性在实际临床应用中具有非常重要的意义。但由于肺结节的位置、大小、形状的不规则性，肺部病变的多样性，以及人体胸部解剖结构的明显差异等，使得各类分割方法不能统一地适用于所有的胸部CT图像，所以对于肺实质分割方法的研究仍具有很大的挑战。该文在国内外研究分析的基础上提出基于3D区域增长法与改进的凸包修补算法相结合的全肺分割方法。在3D区域增长法的粗分割基础上，对分割的结果进行细化工作，通过连通域标记法与形态学方法相结合去除气管和主支气管，得到初步的肺实质掩膜，最后应用改进的凸包算法对肺部轮廓进行修补平滑，最终得到肺部分割结果。通过与凸包算法及滚球法相对比，证明该文所提改进的凸包算法能够有效地修补肺部轮廓凹陷，修补后的结果分割精度较高。”。这是正确的吗？_选项：是的，不是_答案：,是的,"['是的', '不是']",classify
这个句子“我想查花呗怎么查”转述(意思是一样的)了下面这句话？“花呗在哪查”。选项：是的，不是。答案：,不是,"['是的', '不是']",classify
"给定“由此而引起人们的心理振荡也是正常现象,不然,为什么说改革也是一场革命呢”我们应该假定“改革引起了人们的心理震荡”是真的吗？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
给定下面的问题。_女的觉得自己哪方面能力比较突出？_以及下面的答案：文字。 写一段可能发生的对话。_答案：,男：你觉得自己应聘编辑有什么优势？女：我是中文系毕业的，文字方面能力比较突出，另外我很细心。,[],mrc
这是关于哪方面的新闻？团饭、唯饭和cp饭都是怎么看待彼此的？_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,娱乐,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
这是一个完型填空任务。候选的词语有这些：淋漓尽致，轻描淡写，慢条斯理，有言在先，意味深长，单刀直入，言简意赅，满不在乎，反客为主，物归原主。文章内容为：_总之，上海将自主创新视为“生死攸关”的事业，__。这座城市此后在科技创新方面的努力与突破，也必将成为中国在建设创新型国家过程中的一个亮点。_ 请问：下划线处应该选择哪个词语？_答案：,意味深长,"['淋漓尽致', '轻描淡写', '慢条斯理', '有言在先', '意味深长', '单刀直入', '言简意赅', '满不在乎', '反客为主', '物归原主']",mrc
"给定“老婆见又来了一屋人,屋里烟气冲天,痰迹遍地,当然不会有好脸色,只是点点头,就进了厨房”因此，它必定是真的“老婆没见过这些人”？是的,不是,或也许？_答案：",不是,"['是的', '不是', '也许']",nli
"假定下面是真的“前几天听说通飞机,他就嚷着要坐,还非叫我来不行,说买个机票才30多块钱,到大地方开开眼界”因此,“现在的机票很便宜”是必然的,可能的,或不可能？_答案：",必然的,"['必然的', '可能的', '不可能']",nli
你会把这个描述推荐给哪方面的人？银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿简单搜索，拥有强大语音搜索能力的极简极速搜索APP极简体验全国首款搜索无广告软件，无时不刻极简搜索拥有强大的语音、图像识别内核；极简设计，极速体验。语音指令语音说打开爱奇艺，可直接跳转爱奇艺官网，更多有趣指令等你发现。图像识别相机对准目标可实时实现搜图、搜花、搜题、搜商品、翻译等功能。热门榜单汇集全网最热搜榜单和优质精选内容，极速了解当下最火新鲜事，获取世界上最有趣的新鲜事。纯净搜索模式过滤了不宜的词汇、图片及网站，为大家提供健康安全的网络搜索环境；明星主题明星官方联名设计，有明星独家的高清手机壁纸、专属宠溺语音留言和独家呆萌表情包，让爱豆陪伴你每一次搜索；少儿频道懂啦是一款为310岁少儿提供寓教于乐、有知识、有营养，帮助孩子理解科学、认知世界的产品。世界很复杂，百度更懂你更新内容「优化部分体验」_答案：,工具,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
这个App应用程序的描述会出现在哪个栏目？VidTrimPro是Android的一个视频编辑和组织者。它包括多种功能，如修剪，框架霎那，转码和视频效果。您也可以与你的朋友分享你的视频，直接通过应用进程。VidTrim的一天是应用在PocketLint.comhttp//www.pocketlint.com/news/48544/vidtrimproreviewndroidvideoeditor同时检查出这篇评论ndroiddvices.comhttp//bit.ly/JSPZcJ请首先尝试免费的广告支持版本。VidTrim专业的特点视频微调。修剪视频剪辑在您的设备的影响。应用B/W酷的视频效果一样，否定，像素化，海报发光，Tint0r，EDGE检测，亮度，SwpUV。转码调整大小和压缩视频剪辑，以更小的尺寸。图像采集。从您的视频剪辑图像的提取/保存帧。保存的音频，视频文档为MP3。分享视频短片。发送电子邮件，上传到YouTube等播放视频片段重命名视频剪辑删除视频剪辑如果你有任何问题，建议或只是单纯的想退款，请与我们联系support@goseet.com使用FFmpeg中的LGPL许可范围内。更新内容修复部分小错误，提升整体稳定性。_选项：银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿_答案：,影像剪辑,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
哪个类别最好的描述了这篇新闻？多国部队联合行动 尼日利亚逾千名人质获救_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,国际,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
这是关于哪方面的新闻？练字帖不分年龄！用这样的字帖练字，28天速成，朋友圈人人点赞_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,文化,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
"假设“这就像是旧景重视,却想不起是何时何地的旧是”我们可以推断“我想不起来似曾相识的是哪里”？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
"“他们早上来,晚饭后才走,生活恢复了常规”根据前面的段落，以下是否是真的“他们前段时间忙的生活规律打乱了”？是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
"给定“说在春节期间正火”因此，它必定是真的“春节期间掀起一番热潮”？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
"冥府行星（Chthonian，，有时会拼错为Cthonian），是一种假设中的天体类型，成因是外围数层的氢和氦被剥离之后的气体巨星。这些大气层被剥离是行星过度接近恒星的结果，残余的岩石或金属核心在许多方面将类似于类地行星 。HD 209458b（欧西里斯）是大气层被剥离过程中行星的一个例子，但是它本身尚不是一颗冥府行星，在可见未来内也还不会成为冥府行星（有些科学家建议水星是一颗冥府行星，因为它的高密度和富含金属的核心，但除此之外没有其它的相似之处）。柯洛7b可能是被发现的第一颗冥府行星。""Chthonia"" 这个名词是由Hébrard等所形成的，在希腊语的意义是「在地球之下」，一般提到时都是指希腊众神之下热的地狱。_ 从上面的段落中，根据一个合理的答案：「在地球之下」，一般提到时都是指希腊众神之下热的地狱_那么问题可能是：","""Chthonia"" 这个名词在希腊语的意义是什么？",[],mrc
"给定“但不是这个,就是说我有4倍多要得一种病,叫多发性硬化”我们应该假定“多发性硬化致死率很低。”是真的吗？是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
